행정구역,시도명,시군구명,읍면동명,매장이름,계(거주인구),남자,여자,10대 미만 남자,10대  남자,20대 남자,30대 남자,40대 남자,50대 남자,60대 남자,고령남자,10대 미만 여자,만10대 여자,만 20세 여자,만 30대 여자,만 40대 여자,만 50대 여자,만 60대 여자,고령 여자,매장수
서울특별시-종로구-내자동,서울특별시,종로구,내자동,경복궁점,91,41,50,2,0,3,5,5,7,11,8,1,1,5,8,3,5,9,18,1
서울특별시-종로구-당주동,서울특별시,종로구,당주동,광화문점,312,144,168,11,11,17,14,31,17,16,27,13,14,10,18,33,25,20,35,1
서울특별시-종로구-수송동,서울특별시,종로구,수송동,안국,245,111,134,10,6,4,18,19,16,22,16,4,8,12,19,28,23,19,21,1
서울특별시-종로구-종로2가,서울특별시,종로구,종로2가,종로,510,234,276,0,0,6,10,28,58,58,74,0,0,5,8,19,39,81,124,1
서울특별시-종로구-계동,서울특별시,종로구,계동,북촌,1074,488,586,29,43,50,76,77,82,62,69,25,39,56,69,101,96,90,110,1
서울특별시-종로구-종로5가,서울특별시,종로구,종로5가,종로5가,174,110,64,1,0,5,6,9,32,40,17,0,0,5,3,3,12,13,28,1
서울특별시-종로구-종로6가,서울특별시,종로구,종로6가,동대문역점,500,265,235,8,12,25,24,30,64,53,49,9,11,30,28,21,51,38,47,1
서울특별시-종로구-동숭동,서울특별시,종로구,동숭동,대학로점,3741,1760,1981,56,74,349,311,241,304,223,202,61,108,412,301,251,280,283,285,1
서울특별시-종로구-명륜4가,서울특별시,종로구,명륜4가,성대,849,396,453,14,18,103,74,44,59,43,41,9,12,148,64,56,61,42,61,1
서울특별시-종로구-명륜3가,서울특별시,종로구,명륜3가,성균관대,4812,2445,2367,56,130,845,331,260,306,264,253,54,165,721,230,228,304,247,418,1
서울특별시-종로구-교북동,서울특별시,종로구,교북동,독립문,895,396,499,38,25,44,116,66,54,33,20,35,26,57,151,97,52,45,36,1
서울특별시-중구-을지로2가,서울특별시,중구,을지로2가,을지로3가,58,41,17,0,1,7,7,6,8,9,3,0,0,6,2,1,4,2,2,1
서울특별시-중구-태평로2가,서울특별시,중구,태평로2가,시청,50,36,14,0,0,1,8,9,5,11,2,0,1,3,2,1,2,4,1,1
서울특별시-중구-남대문로2가,서울특별시,중구,남대문로2가,을지로입구,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
서울특별시-중구-회현동1가,서울특별시,중구,회현동1가,회현,3431,1625,1806,71,86,179,192,254,276,332,235,72,95,192,245,231,302,335,334,1
서울특별시-중구-명동2가,서울특별시,중구,명동2가,명동성당,539,54,485,0,0,0,7,11,20,9,7,0,1,5,26,78,109,113,153,1
서울특별시-중구-필동2가,서울특별시,중구,필동2가,충무로,927,476,451,13,19,68,64,68,81,89,74,13,17,66,59,44,59,78,115,1
서울특별시-중구-광희동1가,서울특별시,중구,광희동1가,동대문역사문화공원역,384,225,159,1,2,19,27,31,62,44,39,1,4,8,17,23,28,45,33,1
서울특별시-중구-신당동,서울특별시,중구,신당동,"약수역점,신당역",69333,33251,36082,1720,2023,4545,5163,4820,5900,5065,4015,1661,1976,5004,5237,4772,6074,5475,5883,2
서울특별시-중구-순화동,서울특별시,중구,순화동,순화동라마다,1245,556,689,59,22,48,117,157,80,48,25,43,55,91,158,157,95,55,35,1
서울특별시-중구-충정로1가,서울특별시,중구,충정로1가,정동,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
서울특별시-용산구-후암동,서울특별시,용산구,후암동,서울역동자,16602,8096,8506,430,617,1196,1431,1221,1343,1067,791,398,513,1156,1324,1286,1381,1209,1239,1
서울특별시-용산구-갈월동,서울특별시,용산구,갈월동,남영역,2983,1645,1338,39,63,219,247,237,352,304,184,34,55,239,235,173,216,185,201,1
서울특별시-용산구-동자동,서울특별시,용산구,동자동,서울역동자,3662,2364,1298,45,62,187,240,302,632,585,311,36,44,207,226,162,238,206,179,1
서울특별시-용산구-청파동2가,서울특별시,용산구,청파동2가,숙명여대,3531,1357,2174,56,76,257,253,212,191,149,163,41,115,647,266,229,302,266,308,1
서울특별시-용산구-한강로3가,서울특별시,용산구,한강로3가,"용산아이파크몰,용산전자랜드",8152,3987,4165,280,246,492,635,585,769,581,399,269,236,582,635,584,768,587,504,2
서울특별시-용산구-한남동,서울특별시,용산구,한남동,한남,20237,9746,10491,582,575,1278,1826,1607,1503,1341,1034,521,568,1205,1950,1627,1669,1497,1454,1
서울특별시-성동구-상왕십리동,서울특별시,성동구,상왕십리동,상왕십리,3696,1730,1966,224,128,169,289,381,257,195,87,235,124,243,401,359,271,192,141,1
서울특별시-성동구-도선동,서울특별시,성동구,도선동,왕십리역,4665,2203,2462,58,130,525,423,263,374,251,179,55,107,754,436,264,358,239,249,1
서울특별시-성동구-행당동,서울특별시,성동구,행당동,한양대,42273,20160,22113,1392,1487,3560,3191,3054,3267,2385,1824,1421,1775,3713,3355,3263,3420,2564,2602,1
서울특별시-성동구-금호동2가,서울특별시,성동구,금호동2가,신금호역,9967,4697,5270,497,298,495,844,905,728,541,389,454,317,558,1015,920,780,630,596,1
서울특별시-성동구-성수동1가,서울특별시,성동구,성수동1가,서울숲,28618,14150,14468,862,962,2106,2562,2026,2428,2024,1180,777,889,2149,2589,2118,2474,1989,1483,1
서울특별시-성동구-성수동2가,서울특별시,성동구,성수동2가,성수역,26207,13465,12742,636,668,1958,2284,1851,2398,2304,1366,591,623,2015,2065,1625,2112,2022,1689,1
서울특별시-광진구-중곡동,서울특별시,광진구,중곡동,중곡역,80773,39138,41635,1817,2406,6146,6763,5612,6682,5747,3965,1668,2246,6924,6732,5397,7160,6397,5111,1
서울특별시-광진구-능동,서울특별시,광진구,능동,군자역,11256,5193,6063,252,243,1018,1131,814,681,580,474,228,245,1328,1362,793,774,714,619,1
서울특별시-광진구-구의동,서울특별시,광진구,구의동,"광장,아차산역,강변역",78059,37195,40864,2145,2903,5985,6303,5679,6134,4732,3314,2092,2923,6880,6418,6179,6618,5351,4403,3
서울특별시-광진구-광장동,서울특별시,광진구,광장동,구의,34350,16638,17712,1437,2767,1959,1530,3234,2987,1620,1104,1327,2635,1970,1924,3910,2891,1646,1409,1
서울특별시-광진구-자양동,서울특별시,광진구,자양동,뚝섬유원지역,92102,44729,47373,2571,3280,6886,7159,6774,7356,6448,4255,2467,3196,7227,7079,6965,7780,6975,5684,1
서울특별시-광진구-화양동,서울특별시,광진구,화양동,"건대입구,세종대",23787,11320,12467,174,316,4553,2453,1181,1131,831,681,167,429,6009,2222,948,950,883,859,2
서울특별시-동대문구-신설동,서울특별시,동대문구,신설동,신설동역,3766,1910,1856,35,42,375,398,238,312,333,177,36,41,683,413,180,167,198,138,1
서울특별시-동대문구-전농동,서울특별시,동대문구,전농동,서울시립대학교,47235,23256,23979,1412,1691,3338,3099,3540,4036,3485,2655,1369,1746,3198,3005,3368,3992,3677,3624,1
서울특별시-동대문구-장안동,서울특별시,동대문구,장안동,장안사거리,70532,34947,35585,2574,2819,4265,5534,6140,5439,4779,3397,2368,2562,4592,5429,5805,5431,5203,4195,1
서울특별시-동대문구-회기동,서울특별시,동대문구,회기동,경희대,10596,5099,5497,188,317,1633,820,635,607,462,437,184,357,1854,664,631,595,538,674,1
서울특별시-동대문구-이문동,서울특별시,동대문구,이문동,외대,37970,18600,19370,893,1454,3721,2434,2600,3029,2349,2120,838,1468,4034,2134,2530,2879,2567,2920,1
서울특별시-중랑구-상봉동,서울특별시,중랑구,상봉동,상봉역,43966,21273,22693,1159,1365,3292,4042,3022,3480,3036,1877,1183,1170,4089,3987,2922,3626,3199,2517,1
서울특별시-중랑구-중화동,서울특별시,중랑구,중화동,중랑역,44085,22206,21879,1072,1178,3074,3541,3157,3928,3768,2488,948,1124,3101,3277,2703,3834,3743,3149,1
서울특별시-중랑구-묵동,서울특별시,중랑구,묵동,묵동,52924,25590,27334,1461,2077,3548,3703,4127,4242,3640,2792,1411,1980,3958,3662,4128,4492,4219,3484,1
서울특별시-중랑구-망우동,서울특별시,중랑구,망우동,망우,51731,25767,25964,1583,1487,3367,3979,3728,4484,4344,2795,1483,1617,3559,3690,3295,4405,4234,3681,1
서울특별시-성북구-동소문동2가,서울특별시,성북구,동소문동2가,한성대,527,259,268,5,15,44,36,41,45,37,36,6,13,36,31,25,45,44,68,1
서울특별시-성북구-동선동2가,서울특별시,성북구,동선동2가,성신여대,2134,777,1357,9,38,239,166,86,92,79,68,25,70,646,207,102,104,88,115,1
서울특별시-성북구-정릉동,서울특별시,성북구,정릉동,"정릉,국민대학교",79574,38560,41014,2269,3303,6042,5158,5795,6293,5289,4411,2074,3056,5636,4901,6008,6788,6286,6265,2
서울특별시-성북구-길음동,서울특별시,성북구,길음동,길음뉴타운,53812,25705,28107,2759,3336,2594,3164,5172,4241,2485,1954,2604,3376,2753,3710,5754,4114,3007,2789,1
서울특별시-성북구-종암동,서울특별시,성북구,종암동,종암,38439,19020,19419,1204,1936,2923,2486,2974,3154,2430,1913,1141,1586,2617,2372,3130,3164,2585,2824,1
서울특별시-성북구-하월곡동,서울특별시,성북구,하월곡동,동덕여대,39958,19181,20777,1272,1823,2444,2628,3170,3277,2556,2011,1270,1809,3016,2647,3250,3191,2827,2767,1
