행정구역,매장이름,여고유무,학원수,1인세대,운동센터수
서울특별시-종로구-내자동,경복궁점,0.0,0.0,44.0,1
서울특별시-종로구-당주동,광화문점,0.0,0.0,58.0,1
서울특별시-종로구-수송동,안국,0.0,0.0,102.0,2
서울특별시-종로구-종로2가,종로,0.0,0.0,412.0,1
서울특별시-종로구-계동,북촌,0.0,0.0,238.0,1
서울특별시-종로구-종로5가,종로5가,0.0,0.0,148.0,1
서울특별시-중구-태평로2가,시청,0.0,0.0,45.0,2
서울특별시-중구-회현동1가,회현,0.0,0.0,984.0,6
서울특별시-중구-명동2가,명동성당,0.0,0.0,41.0,4
서울특별시-중구-필동2가,충무로,0.0,0.0,366.0,2
서울특별시-중구-광희동1가,동대문역사문화공원역,0.0,0.0,250.0,1
서울특별시-중구-신당동,"약수역점,신당역",0.0,0.0,14995.0,33
서울특별시-중구-순화동,순화동라마다,1.0,0.0,359.0,3
서울특별시-용산구-청파동2가,숙명여대,1.0,0.0,1376.0,1
서울특별시-광진구-구의동,"광장,아차산역,강변역",1.0,510.0,16156.0,65
서울특별시-동대문구-전농동,서울시립대학교,1.0,0.0,9879.0,22
서울특별시-동대문구-회기동,경희대,1.0,0.0,4701.0,10
서울특별시-중랑구-망우동,망우,1.0,0.0,12290.0,25
서울특별시-강북구-미아동,"삼양솔샘,미아역,미아사거리역",1.0,504.0,26706.0,45
서울특별시-도봉구-쌍문동,덕성여대,1.0,0.0,12193.0,35
서울특별시-도봉구-창동,쌍문역,1.0,0.0,17644.0,47
서울특별시-노원구-월계동,광운대역,1.0,86.0,13406.0,28
서울특별시-노원구-상계동,노원,1.0,396.0,29159.0,80
서울특별시-노원구-중계동,중계은행사거리,1.0,468.0,11711.0,48
서울특별시-은평구-갈현동,"연신내,구산역",1.0,0.0,9659.0,21
서울특별시-은평구-구산동,구산역,1.0,0.0,4729.0,7
서울특별시-서대문구-연희동,연희,1.0,0.0,10410.0,18
서울특별시-마포구-도화동,마포,1.0,0.0,4219.0,11
서울특별시-마포구-신정동,"신정네거리역,목동역",1.0,0.0,176.0,2
서울특별시-마포구-성산동,마포구청,1.0,0.0,12984.0,16
서울특별시-양천구-신정동,양천구청,1.0,0.0,20731.0,74
서울특별시-양천구-목동,"오목교,등촌역",1.0,0.0,16393.0,89
서울특별시-강서구-등촌동,가양역,1.0,382.0,18231.0,50
서울특별시-강서구-화곡동,화곡역,1.0,688.0,50166.0,79
서울특별시-영등포구-여의도동,"여의도화재보험,여의도KBS본관,여의도국회의사당, 성대",1.0,0.0,4165.0,59
서울특별시-동작구-신대방동,보라매,1.0,0.0,9182.0,20
서울특별시-관악구-봉천동,"서울대,낙성대역",1.0,726.0,75288.0,99
서울특별시-관악구-신림동,"신림,신림역",1.0,602.0,91684.0,100
서울특별시-서초구-방배동,방배,1.0,2.0,13450.0,99
서울특별시-서초구-반포동,"신논현,논현역",1.0,18.0,8906.0,70
서울특별시-서초구-서초동,"서초법원,교대",1.0,40.0,18556.0,160
서울특별시-강남구-개포동,포이사거리,1.0,380.0,8104.0,32
서울특별시-강남구-삼성동,"삼성,봉은사역",1.0,278.0,7917.0,63
서울특별시-강남구-논현동,"학동역,신사",1.0,344.0,16176.0,98
서울특별시-강남구-일원동,대청,1.0,212.0,4513.0,22
서울특별시-송파구-잠실동,잠실새내역,1.0,0.0,13250.0,62
서울특별시-송파구-송파동,"석촌역,석촌호수,송파역",1.0,0.0,8246.0,33
서울특별시-강동구-명일동,고덕역,1.0,678.0,4377.0,38
서울특별시-강동구-상일동,상일동,1.0,106.0,3880.0,11
서울특별시-강동구-길동,길동역,1.0,202.0,9956.0,31
서울특별시-강동구-성내동,천호역,1.0,384.0,14334.0,54
서울특별시-강동구-천호동,"강동성심병원,천호",1.0,252.0,22909.0,37
부산광역시-동구-초량동,부산역,0.0,55.0,8630.0,25
부산광역시-동구-수정동,부산진역,1.0,33.0,5941.0,8
부산광역시-영도구-영선동1가,부산영도,0.0,4.0,341.0,1
부산광역시-부산진구-양정동,부산양정,0.0,105.0,8816.0,21
부산광역시-부산진구-부전동,"부산서면,부산서면롯데,부산서면동천로",1.0,146.0,9616.0,40
